date	price	gallons	miles
11/26/2014	32.06	12.332	4927
12/19/2014	29.38	12.778	5158
1/14/2015	25.01	13.17	5409
2/2/2015	23.95	12.882	5664
2/20/2015	26.05	12.409	5912
3/14/2015	29.15	12.903	6172
3/28/2015	27.06	12.77	6435
4/29/2015	26.88	11.69	6927
5/15/2015	31.84	12.742	7200
5/29/2015	31.95	12.784	7489
5/29/2015	25.89	9.96	7846
5/30/2015	26.17	10.069	8207
5/30/2015	31.66	11.475	8618
6/1/2015	35.88	12.127	9006
6/10/2015	26.4	8.983	9158
6/19/2015	38.73	12.913	9325
6/27/2015	36.64	12.217	9546
7/5/2015	35.87	11.96	9738
7/12/2015	34.15	11.541	9922
7/24/2015	39.19	13.245	10125
8/5/2015	30	10.348	10302
8/17/2015	20.01	7.251	10466
8/25/2015	15.02	5.566	10530
9/8/2015	29.46	11.513	10671
9/23/2015	31.51	12.71	10899
10/6/2015	29.32	12.119	11126
10/24/2015	31.21	13.118	11357
11/13/2015	19.97	8.396	11590
12/1/2015	25.04	10.893	11738
12/17/2015	11	5.003	11845
1/6/2016	25.21	11.57	11994
2/5/2016	10.02	5.062	12117
2/7/2016	18.58	9.39	12213
3/5/2016	23.3	12.4	12404
4/1/2016	27.21	12.372	12647
4/28/2016	30.4	12.886	12871
5/25/2016	10.04	3.864	13089
6/2/2016	33.18	12.965	13159
6/30/2016	33.69	13.166	13378